age,hp_kW,km,Gearing_Type,Gears,body_type,make_model,Fuel,Drive_chain,Weight_kg,Paint_Type,Upholstery_type,cons_comb,price
3.0,66.0,56013.0,Automatic,7.0,Sedans,Audi A1,Diesel,front,1220.0,Metallic,Cloth,3.8,25232.0
2.0,141.0,80000.0,Automatic,7.0,Sedans,Audi A1,Benzine,front,1255.0,Metallic,Cloth,5.6,23200.0
3.0,85.0,83450.0,Automatic,7.0,Sedans,Audi A1,Diesel,front,1135.0,Metallic,Cloth,3.8,23424.0
3.0,66.0,73000.0,Automatic,6.0,Sedans,Audi A1,Diesel,front,1195.0,Metallic,Cloth,3.8,23200.0
3.0,66.0,16200.0,Automatic,7.0,Sedans,Audi A1,Diesel,front,1135.0,Metallic,Cloth,4.1,26864.0
3.0,85.0,63668.0,Automatic,7.0,Sedans,Audi A1,Diesel,front,1135.0,Metallic,Part/Full Leather,3.5,24144.0
3.0,85.0,62111.0,Automatic,7.0,Station wagon,Audi A1,Diesel,front,1195.0,Metallic,Part/Full Leather,3.7,26275.2
3.0,66.0,14986.0,Automatic,7.0,Compact,Audi A1,Diesel,front,1180.0,Metallic,Cloth,3.7,23168.0
3.0,85.0,57000.0,Automatic,7.0,Sedans,Audi A1,Diesel,front,1275.0,Metallic,Cloth,3.7,26720.0
2.0,70.0,16103.0,Automatic,7.0,Sedans,Audi A1,Benzine,front,1135.0,Metallic,Cloth,4.2,28784.0
1.0,85.0,11300.0,Automatic,7.0,Sedans,Audi A1,Diesel,front,1250.0,Metallic,Cloth,4.0,29600.0
3.0,92.0,26415.0,Automatic,7.0,Sedans,Audi A1,Benzine,front,1135.0,Uni/basic,Cloth,4.9,28784.0
3.0,92.0,31600.0,Automatic,7.0,Sedans,Audi A1,Benzine,front,1135.0,Metallic,Part/Full Leather,4.9,29408.0
3.0,112.0,45764.0,Automatic,7.0,Sedans,Audi A1,Benzine,front,1135.0,Metallic,Part/Full Leather,4.2,29438.4
3.0,70.0,34914.0,Automatic,7.0,Sedans,Audi A1,Benzine,front,1135.0,Metallic,Cloth,4.2,28784.0
3.0,85.0,27000.0,Automatic,7.0,Sedans,Audi A1,Diesel,front,1275.0,Metallic,Cloth,3.7,29920.0
1.0,85.0,9752.0,Automatic,5.0,Sedans,Audi A1,Diesel,front,1175.0,Metallic,Cloth,3.5,30240.0
2.0,66.0,28408.0,Automatic,7.0,Sedans,Audi A1,Diesel,front,1220.0,Metallic,Cloth,3.8,29600.0
